Marks,Intensity(V)
,0.155034
,0.138386
,0.165508
,0.161494
,0.135350
,0.134474
,0.146884
,0.163185
,0.158193
,0.153139
,0.150959
,0.141484
,0.154912
,0.157663
,0.134759
,0.161637
,0.154077
,0.153893
,0.150653
,0.157317
,0.153608
,0.212824
,0.205651
,0.184928
,0.196094
,0.184805
,0.182992
,0.163735
,0.187454
,0.160210
,0.182625
,0.193466
,0.203369
,0.197011
,0.212416
,0.237256
,0.203104
,0.241454
,0.236278
,0.254780
,0.244490
,0.264378
,0.250053
,0.266783
,0.277460
,0.284429
6551.4,0.308372
,0.351429
,0.442413
,0.437135
,0.481231
,0.515282
,0.595628
,0.670698
,0.737229
,0.954245
,1.071495
,1.134522
,1.326678
,1.414768
,1.651204
,1.945511
,2.714849
,3.079497
,3.242168
,3.444023
,3.522985
,4.223530
,4.864044
,5.525159
,6.466398
,6.770364
,7.905369
,8.070668
,8.262091
,9.261568
,9.478544
,9.246672
,9.783324
,10.585938
,10.874397
,10.956496
,11.543357
,11.622644
,11.758458
,11.615512
,11.558497
,11.582848
,11.251251
,10.511663
,10.316451
,10.178518
,6.515446
,5.741156
,4.413954
,4.302797
,4.081644
,4.275125
,4.300209
,4.422471
,4.855995
,5.185411
,5.892986
,6.233814
,7.546752
,7.986613
,8.906130
,9.674612
,9.871068
,9.744241
,9.720339
,9.791434
,10.454689
,10.902945
,11.275866
,11.231465
,11.349428
,11.338017
,11.271465
,10.872277
,10.792664
,10.383186
,8.372311
,6.620144
,5.005481
,4.227829
,0.973685
,0.790495
,0.469290
,0.395627
,0.333355
,0.342280
,0.318235
,0.311286
,0.268127
,0.230797
6557.2,0.226252
,0.235137
,0.207770
,0.173068
,0.180750
,0.195707
,0.167505
,0.182482
,0.194322
,0.173659
,0.189248
,0.186537
,0.180221
,0.135472
,0.125610
