Marks,Intensity(V)
,0.152161
,0.147902
,0.134352
,0.125080
,0.164815
,0.169115
,0.183216
,0.155585
,0.158825
,0.163613
,0.142523
,0.145518
,0.155462
,0.152426
,0.161596
,0.144438
,0.141443
,0.162268
,0.153323
,0.167872
,0.150429
,0.167200
,0.157765
,0.155931
,0.174923
,0.141361
,0.159721
4094.0,0.180547
,0.184479
,0.207118
,0.231632
,0.204918
,0.308067
,0.309350
,0.371256
,0.411623
,0.464420
,0.517177
,0.544665
,0.652297
,0.651319
,0.660489
,0.665542
,0.673714
,0.637870
,0.586500
,0.562434
,0.564900
,0.549556
,0.473162
,0.457064
,0.382443
,0.378347
,0.328974
,0.362616
,0.352366
,0.483615
,0.440742
,0.665685
,0.638441
,0.788681
,0.783730
,0.698940
,0.795304
,0.752002
,0.761091
,0.636301
,0.484716
,0.440844
,0.449626
,0.324205
,0.330237
,0.260568
,0.271367
,0.242126
,0.214413
,0.225478
,0.225804
,0.244470
,0.230858
,0.191693
,0.214373
4091.2,0.193079
,0.187271
,0.207954
,0.161983
,0.139894
,0.168443
,0.140383
,0.160903
,0.157948
,0.184826
,0.179732
,0.120169
,0.126731
,0.117072
,0.126812
,0.147678
