Marks,Intensity(V)
,0.088605
,0.092110
,0.091845
,0.074015
,0.102849
,0.079435
,0.110490
,0.088442
,0.099874
,0.095961
,0.107719
,0.098957
,0.106394
,0.089013
,0.108595
,0.093088
,0.093271
,0.090133
,0.121514
,0.092334
,0.103888
,0.094576
,0.095493
,0.115136
,0.084428
,0.077500
,0.084795
,0.083205
,0.107658
,0.102788
,0.109206
,0.107617
,0.107576
,0.098121
,0.099181
,0.099833
,0.092151
,0.099527
,0.096165
,0.095493
,0.102563
,0.094188
,0.100139
,0.100465
,0.096817
,0.105355
,0.103378
,0.098508
,0.121208
,0.126547
,0.127077
,0.121229
,0.146598
,0.117235
4331.2,0.143929
,0.185050
,0.204714
,0.167016
,0.198845
,0.223624
,0.276727
,0.243634
,0.311164
,0.331887
,0.501181
,0.439418
,0.564839
,0.581609
,0.810505
,0.848060
,0.979513
,1.050894
,1.202051
,1.215684
,1.177293
,1.127003
,1.081195
,0.951678
,0.819492
,0.587396
,0.438215
,0.383177
,0.371684
,0.371480
,0.383768
,0.441802
,0.438011
,0.656352
,0.626133
,0.778921
,0.788722
,1.033635
,1.001133
,0.966105
,0.876446
,0.678767
,0.699511
,0.712023
,0.462444
,0.286222
,0.296044
,0.277705
,0.188942
,0.163613
,0.165916
,0.198906
,0.167281
,0.164102
,0.180261
,0.155585
,0.122411
,0.127118
,0.174087
4334.4,0.151489
,0.132660
,0.159069
,0.147454
,0.151530
,0.142706
,0.141361
,0.144275
,0.130419
,0.127281
,0.141076
,0.120393
,0.121351
,0.120373
,0.102360
,0.109084
,0.130582
,0.111020
