Marks,Intensity(V)
,0.148982
,0.193812
,0.159171
,0.180200
,0.151346
,0.156746
,0.172396
,0.141423
,0.183175
,0.162533
,0.170419
,0.173353
,0.166812
,0.178815
,0.195035
,0.196502
,0.189207
,0.171540
,0.193568
,0.164021
,0.169951
,0.159110
,0.160129
,0.183562
,0.165203
,0.173476
,0.186762
,0.196135
,0.157724
,0.189655
,0.171377
,0.174617
,0.190552
,0.204510
,0.163226
,0.193160
,0.167179
,0.181280
,0.167240
,0.181097
,0.190450
,0.198784
,0.197398
,0.194159
,0.214047
,0.199762
,0.208382
,0.242839
,0.251683
,0.271877
,0.280476
,0.263726
,0.309085
,0.299304
,0.333457
,0.346396
,0.441027
,0.493376
6552.2,0.490747
,0.531135
,0.611808
,0.699430
,0.875019
,0.951984
,1.077140
,1.068948
,1.257192
,1.349317
,1.504224
,2.454613
,2.696917
,3.018101
,3.204816
,3.463463
,4.086331
,4.258782
,5.500930
,6.091826
,6.586440
,7.617929
,7.928762
,8.313217
,8.826904
,9.544117
,9.415089
,9.385461
,10.603177
,10.796902
,10.985778
,11.400126
,11.517824
,11.660260
,11.659568
,11.652680
,11.661626
,11.605303
,10.896526
,10.780010
,10.548750
,8.659282
,7.257051
,5.565648
,5.118798
,3.935132
,3.992840
,3.985484
,4.386852
,4.460780
,5.063699
,5.380033
,5.680514
,6.826666
,7.273210
,8.326238
,9.012254
,9.799972
,9.488671
,9.392674
,9.355079
,9.730323
,10.616463
,11.016568
,11.242570
,11.280288
,11.267471
,11.248541
,11.074092
,11.008763
,10.658460
,9.455558
,6.663628
,5.066470
,3.900369
,0.934826
,0.655272
,0.402209
,0.361638
,0.291092
,0.340466
,0.294108
,0.282819
,0.250888
,0.234220
6557.2,0.204103
,0.196726
,0.200557
,0.196645
,0.213884
,0.174250
,0.196808
,0.189268
,0.190694
,0.175371
,0.180221
,0.176206
,0.189594
,0.197989
,0.197134
