Time(s),Position(V)
0.354000,2.749382
3.368000,2.754740
6.369000,2.764751
9.369000,2.750902
12.369000,2.746034
15.368000,2.728812
18.368000,2.719250
21.368000,2.706872
24.367000,2.689293
27.367000,2.671256
30.367000,2.651050
33.367000,2.626937
36.367000,2.602298
39.367000,2.573997
42.365000,2.542889
45.366000,2.509693
48.366000,2.473771
51.366000,2.435860
54.366000,2.396168
57.364000,2.352200
60.364000,2.304430
63.365000,2.255124
66.365000,2.203745
69.365000,2.153549
72.363000,2.095751
75.363000,2.040907
78.363000,1.981495
81.363000,1.920509
84.364000,1.858435
87.364000,1.793566
90.362000,1.732043
93.362000,1.676937
96.361000,1.601595
99.361000,1.530801
102.362000,1.463006
105.362000,1.391593
108.362000,1.322958
111.362000,1.255455
114.360000,1.175456
117.360000,1.103860
120.360000,1.030870
123.361000,0.953304
126.360000,0.877785
129.360000,0.799224
132.360000,0.720434
135.360000,0.650664
138.358000,0.560680
141.360000,0.481904
144.358000,0.399002
147.358000,0.316354
150.358000,0.233196
153.358000,0.149036
156.358000,0.065440
159.358000,-0.017932
162.357000,-0.107307
165.357000,-0.189435
168.357000,-0.273089
171.357000,-0.357416
174.357000,-0.439992
177.356000,-0.522511
180.356000,-0.607827
183.357000,-0.692450
186.355000,-0.773180
189.355000,-0.860601
192.354000,-0.948052
195.354000,-1.036727
198.354000,-1.121237
201.355000,-1.200673
204.354000,-1.274662
207.354000,-1.348226
210.354000,-1.421889
213.354000,-1.498003
216.352000,-1.582680
219.352000,-1.667854
222.353000,-1.755573
225.353000,-1.836719
228.353000,-1.909035
231.353000,-1.974179
234.351000,-2.036423
237.351000,-2.099262
240.352000,-2.170597
243.351000,-2.251184
246.351000,-2.331619
249.351000,-2.404595
252.351000,-2.465544
255.351000,-2.519769
258.350000,-2.569027
261.351000,-2.621134
264.349000,-2.678626
267.349000,-2.740231
270.349000,-2.810182
273.349000,-2.876787
276.349000,-2.928728
279.350000,-2.973556
282.348000,-3.011630
285.348000,-3.048463
288.348000,-3.084566
291.348000,-3.124101
294.348000,-3.166921
297.346000,-3.218168
300.347000,-3.270088
303.347000,-3.316834
306.347000,-3.354452
309.347000,-3.382845
312.345000,-3.407919
315.345000,-3.427704
318.346000,-3.447173
321.346000,-3.458911
324.346000,-3.480215
327.345000,-3.492766
330.345000,-3.506167
333.345000,-3.519513
336.343000,-3.532635
339.344000,-3.536850
342.344000,-3.548099
345.344000,-3.552501
348.344000,-3.558872
351.344000,-3.562826
354.342000,-3.545811
357.343000,-3.537309
360.343000,-3.532224
363.343000,-3.532261
366.343000,-3.515077
369.341000,-3.511120
372.341000,-3.499844
375.341000,-3.491230
378.342000,-3.485104
381.342000,-3.456338
384.340000,-3.444133
387.340000,-3.425392
390.340000,-3.417400
393.340000,-3.400597
396.341000,-3.369947
399.341000,-3.339542
402.340000,-3.311317
405.340000,-3.273708
408.338000,-3.233935
411.338000,-3.181766
414.338000,-3.134803
417.339000,-3.092187
420.339000,-3.056099
423.339000,-3.022753
426.337000,-2.986042
429.337000,-2.951256
432.337000,-2.913005
435.338000,-2.867945
438.338000,-2.815950
441.336000,-2.752822
444.336000,-2.689752
447.336000,-2.630996
450.336000,-2.578879
453.336000,-2.533112
456.335000,-2.485740
459.335000,-2.437992
462.335000,-2.384583
465.335000,-2.325412
468.335000,-2.255451
471.333000,-2.182903
474.334000,-2.115281
477.334000,-2.053900
480.334000,-1.997856
483.334000,-1.945767
486.334000,-1.891402
489.332000,-1.833006
492.332000,-1.771378
495.333000,-1.704133
498.333000,-1.632935
501.333000,-1.562542
504.331000,-1.493169
507.331000,-1.430554
510.331000,-1.368606
513.332000,-1.310387
516.332000,-1.250108
519.332000,-1.191902
522.331000,-1.131055
525.331000,-1.068097
528.329000,-1.003222
531.329000,-0.937480
534.330000,-0.870585
537.330000,-0.823618
540.330000,-0.757254
543.330000,-0.710501
546.328000,-0.614877
549.328000,-0.555254
552.329000,-0.514774
555.329000,-0.458696
558.329000,-0.385336
561.327000,-0.329792
564.327000,-0.276019
567.327000,-0.222427
570.327000,-0.169582
573.328000,-0.120433
576.326000,-0.067513
579.326000,-0.015971
582.326000,0.032723
585.326000,0.051618
588.326000,0.118186
591.327000,0.153360
594.325000,0.220282
597.325000,0.263727
600.325000,0.306774
603.325000,0.344892
606.325000,0.386345
609.323000,0.424328
612.324000,0.463340
615.324000,0.497634
618.324000,0.529799
621.324000,0.561391
624.322000,0.592812
627.322000,0.619555
630.323000,0.649726
633.323000,0.671302
636.323000,0.697148
639.323000,0.723137
642.321000,0.742765
645.321000,0.760045
648.321000,0.784579
