Time(s),Position(V)
0.358000,1.888999
3.373000,1.881221
6.373000,1.871101
9.373000,1.853196
12.373000,1.842443
15.373000,1.832235
18.373000,1.818120
21.373000,1.805964
24.371000,1.790296
27.371000,1.774842
30.372000,1.768468
33.372000,1.761173
36.372000,1.740851
39.370000,1.729864
42.370000,1.710888
45.371000,1.684906
48.370000,1.677505
51.370000,1.666487
54.370000,1.644547
57.370000,1.621968
60.370000,1.606405
63.368000,1.591301
66.368000,1.580355
69.369000,1.558011
72.369000,1.537437
75.369000,1.527650
78.367000,1.523917
81.367000,1.491201
84.367000,1.486078
87.368000,1.470695
90.368000,1.457121
93.368000,1.438186
96.366000,1.437663
99.366000,1.414397
102.366000,1.395251
105.366000,1.389574
108.367000,1.374980
111.365000,1.361114
114.365000,1.351690
117.365000,1.329281
120.365000,1.322934
123.365000,1.316945
126.366000,1.307280
129.364000,1.286023
132.364000,1.286982
135.364000,1.273268
138.364000,1.258297
141.364000,1.259891
144.362000,1.249105
147.363000,1.244417
150.362000,1.232155
153.362000,1.226363
156.362000,1.220580
159.362000,1.217996
162.362000,1.207961
165.363000,1.206720
168.361000,1.200074
171.361000,1.197134
174.361000,1.196682
177.361000,1.190617
180.361000,1.189247
183.359000,1.189346
186.360000,1.187218
189.360000,1.186235
192.360000,1.187048
195.360000,1.185844
198.358000,1.186936
201.358000,1.189900
204.359000,1.192412
207.359000,1.192823
210.359000,1.198351
213.359000,1.200044
216.357000,1.204341
219.357000,1.207859
222.357000,1.213693
225.358000,1.216606
228.358000,1.223677
231.356000,1.231999
234.356000,1.235303
237.356000,1.243996
240.356000,1.254813
243.357000,1.259093
246.355000,1.272656
249.355000,1.276035
252.355000,1.291551
255.355000,1.302599
258.355000,1.306022
261.355000,1.322054
264.354000,1.328023
267.354000,1.343539
270.354000,1.351894
273.354000,1.361131
276.354000,1.378363
279.352000,1.383792
282.353000,1.408298
285.353000,1.415808
288.353000,1.439131
291.353000,1.447552
294.351000,1.447902
297.351000,1.472518
300.351000,1.474163
303.352000,1.487968
306.352000,1.507913
309.352000,1.519423
312.350000,1.534092
315.350000,1.542016
318.350000,1.566764
321.351000,1.581365
324.351000,1.589289
327.349000,1.605080
330.349000,1.612120
333.349000,1.644738
336.349000,1.653148
339.349000,1.663435
342.348000,1.679626
345.348000,1.694074
348.348000,1.709256
351.348000,1.729105
354.348000,1.731465
357.348000,1.752358
360.347000,1.770521
363.347000,1.774811
366.347000,1.800460
369.347000,1.799145
372.347000,1.821714
375.345000,1.825555
378.345000,1.840676
381.346000,1.864384
384.346000,1.879661
387.346000,1.894503
390.344000,1.901944
393.345000,1.919417
396.345000,1.931945
399.344000,1.948901
402.344000,1.962512
405.344000,1.969974
408.343000,1.982494
411.343000,1.989219
414.343000,2.005757
417.343000,2.002096
420.344000,2.017890
423.342000,2.040037
426.342000,2.053451
429.342000,2.049719
432.342000,2.057048
435.342000,2.078308
438.341000,2.078526
441.341000,2.093416
444.341000,2.092987
447.341000,2.106038
450.341000,2.119629
453.341000,2.128083
456.339000,2.126978
459.340000,2.132271
462.340000,2.142126
465.340000,2.156115
468.340000,2.146767
471.338000,2.152148
474.338000,2.161891
477.339000,2.159906
480.339000,2.169064
483.339000,2.179524
486.337000,2.179684
489.337000,2.183212
492.337000,2.182832
495.337000,2.182468
498.338000,2.195644
501.338000,2.195063
504.336000,2.183957
507.337000,2.204160
510.336000,2.187802
513.336000,2.187625
516.337000,2.176376
519.335000,2.188913
522.335000,2.194118
525.336000,2.190854
528.334000,2.186071
531.334000,2.182420
534.334000,2.185857
537.335000,2.165855
540.335000,2.159967
543.333000,2.158029
546.333000,2.162054
549.333000,2.155208
552.333000,2.156265
555.334000,2.139771
558.332000,2.137391
561.332000,2.125472
564.332000,2.123708
567.332000,2.128977
570.332000,2.117531
573.332000,2.104729
576.331000,2.102016
579.332000,2.086630
582.330000,2.087738
585.330000,2.073345
588.330000,2.064602
591.330000,2.055862
594.331000,2.051894
597.329000,2.039684
600.329000,2.030743
603.329000,2.020670
606.329000,2.013219
609.329000,2.009724
612.329000,1.992496
615.328000,1.985095
618.328000,1.972252
621.328000,1.968880
624.328000,1.955377
627.328000,1.951801
630.326000,1.937516
633.327000,1.922882
636.327000,1.910949
639.327000,1.900884
642.327000,1.891532
645.327000,1.877417
648.325000,1.879868
651.325000,1.860114
654.326000,1.846679
657.326000,1.842036
660.325000,1.830494
663.325000,1.815761
666.325000,1.803972
669.325000,1.797533
672.324000,1.797826
675.324000,1.788008
678.324000,1.766398
681.324000,1.760737
684.323000,1.749206
687.323000,1.745719
690.322000,1.729146
693.323000,1.725315
696.323000,1.702355
699.323000,1.685140
702.321000,1.672929
705.322000,1.663282
708.322000,1.658318
711.321000,1.653233
714.321000,1.641518
717.321000,1.629121
720.321000,1.618861
723.321000,1.614091
726.319000,1.597832
729.320000,1.596788
732.321000,1.583785
735.319000,1.581314
738.319000,1.578482
741.319000,1.563987
744.319000,1.559557
747.319000,1.553812
750.318000,1.541465
753.318000,1.537270
756.319000,1.526477
759.317000,1.516857
762.317000,1.515327
765.317000,1.504605
768.317000,1.504489
771.318000,1.494736
774.316000,1.486856
777.316000,1.482111
780.316000,1.477793
783.316000,1.471579
786.315000,1.474302
789.316000,1.462224
792.316000,1.464117
795.316000,1.454545
798.314000,1.452376
801.314000,1.444883
804.314000,1.441137
807.314000,1.436762
810.315000,1.435188
813.313000,1.432499
816.313000,1.434889
819.313000,1.428654
822.313000,1.429813
825.313000,1.421951
828.313000,1.424065
831.312000,1.421937
834.312000,1.437449
837.312000,1.420156
840.312000,1.421804
843.311000,1.420836
846.311000,1.428841
849.312000,1.429202
852.312000,1.429926
855.310000,1.423473
858.310000,1.432751
861.310000,1.431102
864.310000,1.430847
867.310000,1.430704
870.309000,1.430470
873.309000,1.438594
876.309000,1.438101
879.309000,1.441950
882.309000,1.447334
885.307000,1.450074
888.308000,1.467626
891.308000,1.469220
894.308000,1.463455
897.308000,1.471192
900.308000,1.474969
903.306000,1.475859
906.306000,1.483654
