Time(s),Position(V)
828.310000,0.403169
831.310000,0.397938
834.309000,0.414959
837.309000,0.424668
840.310000,0.423478
843.308000,0.438493
846.308000,0.450667
849.308000,0.462561
852.308000,0.473579
855.308000,0.487469
858.308000,0.498001
861.308000,0.516579
864.308000,0.534317
867.306000,0.556179
870.306000,0.575685
873.307000,0.594797
876.307000,0.613640
879.307000,0.646363
882.305000,0.670802
885.305000,0.698953
888.305000,0.726288
891.306000,0.753107
894.306000,0.782094
897.306000,0.814348
900.304000,0.846633
903.304000,0.863715
906.304000,0.903951
909.304000,0.949068
912.305000,0.988434
915.303000,0.997803
918.303000,1.059500
921.303000,1.098349
924.303000,1.136250
927.303000,1.173756
930.302000,1.215008
933.302000,1.252154
936.302000,1.287692
939.302000,1.336624
942.302000,1.383044
945.302000,1.425013
948.301000,1.467952
951.302000,1.508572
954.302000,1.555413
957.300000,1.599096
960.300000,1.644795
963.300000,1.689865
966.300000,1.735000
969.299000,1.781495
972.299000,1.826415
975.299000,1.871988
978.298000,1.919438
981.298000,1.968220
984.298000,2.016221
987.298000,2.062620
990.299000,2.112609
993.299000,2.155439
996.297000,2.205061
999.297000,2.252521
1002.297000,2.299712
1005.297000,2.345815
1008.298000,2.389573
1011.296000,2.434327
1014.296000,2.472986
1017.296000,2.516710
1020.296000,2.557109
1023.296000,2.598929
1026.294000,2.638315
1029.295000,2.676104
1032.295000,2.711339
1035.295000,2.748053
1038.295000,2.784421
1041.295000,2.817878
1044.293000,2.852658
1047.294000,2.883556
1050.294000,2.917887
1053.294000,2.950100
1056.294000,2.980634
1059.292000,3.009649
1062.292000,3.035610
1065.292000,3.064516
1068.293000,3.099551
1071.293000,3.127453
1074.291000,3.159779
1077.291000,3.186852
1080.291000,3.204842
1083.290000,3.255076
1086.291000,3.288765
1089.291000,3.323422
1092.291000,3.350975
1095.291000,3.378976
1098.290000,3.402942
1101.290000,3.420725
1104.290000,3.440034
1107.289000,3.460274
1110.289000,3.472200
1113.289000,3.487790
1116.289000,3.503430
1119.289000,3.514995
1122.287000,3.526050
1125.288000,3.518001
1128.288000,3.541763
1131.287000,3.553607
1134.287000,3.556612
1137.287000,3.563360
1140.287000,3.551621
1143.287000,3.556612
1146.287000,3.574683
1149.287000,3.573398
1152.287000,3.580683
1155.285000,3.558369
1158.285000,3.562615
1161.285000,3.556285
1164.286000,3.553307
1167.285000,3.543585
1170.285000,3.535902
1173.285000,3.531211
1176.285000,3.522760
1179.283000,3.518456
1182.283000,3.509784
1185.284000,3.497179
1188.284000,3.483190
1191.284000,3.481103
1194.282000,3.458170
1197.282000,3.445242
1200.282000,3.431902
1203.283000,3.411536
1206.283000,3.394420
1209.281000,3.373340
1212.281000,3.354439
1215.281000,3.329317
1218.281000,3.307373
1221.281000,3.283411
1224.282000,3.256946
1227.280000,3.232283
1230.280000,3.205155
1233.280000,3.181563
1236.280000,3.155866
1239.280000,3.124686
1242.279000,3.101597
1245.279000,3.074888
1248.279000,3.046352
1251.279000,3.020792
1254.279000,2.993960
1257.277000,2.965384
1260.277000,2.941166
1263.278000,2.914164
1266.278000,2.886591
1269.278000,2.859171
1272.278000,2.832363
1275.276000,2.803614
1278.276000,2.778567
1281.277000,2.747761
1284.277000,2.719029
1287.277000,2.691211
1290.275000,2.661564
1293.275000,2.632033
1296.275000,2.602682
1299.275000,2.570968
1302.276000,2.541182
1305.276000,2.508799
1308.274000,2.477038
1311.274000,2.448251
1314.274000,2.414263
1317.274000,2.383359
1320.273000,2.350993
1323.273000,2.318130
1326.273000,2.286026
1329.273000,2.252935
1332.273000,2.218115
1335.273000,2.185514
1338.271000,2.152553
1341.272000,2.121386
1344.272000,2.089829
1347.272000,2.058241
1350.272000,2.025008
1353.270000,1.994447
1356.270000,1.963848
1359.271000,1.935517
1362.271000,1.903974
1365.271000,1.876064
1368.271000,1.846207
1371.269000,1.817886
1374.269000,1.792696
1377.269000,1.765340
1380.270000,1.737414
1383.270000,1.715120
1386.268000,1.689519
1389.268000,1.664138
1392.268000,1.640869
1395.268000,1.616933
1398.269000,1.596394
1401.267000,1.572751
1404.267000,1.554434
1407.267000,1.531196
1410.267000,1.510265
1413.267000,1.493122
1416.265000,1.475567
1419.266000,1.458933
1422.266000,1.442137
1425.266000,1.427074
1428.266000,1.409328
1431.266000,1.394401
1434.264000,1.380477
1437.265000,1.368963
1440.265000,1.355583
1443.265000,1.347322
1446.265000,1.333384
1449.263000,1.324328
1452.263000,1.319018
1455.263000,1.311536
1458.264000,1.308708
1461.264000,1.296330
1464.264000,1.294685
1467.262000,1.311366
1470.262000,1.292390
1473.262000,1.315401
1476.263000,1.288865
1479.263000,1.285139
1482.261000,1.282518
1485.261000,1.287553
1488.261000,1.309564
1491.261000,1.308028
1494.261000,1.287876
1497.260000,1.308711
1500.260000,1.315955
1503.260000,1.328680
1506.260000,1.328510
1509.260000,1.333813
1512.260000,1.333041
1515.259000,1.355940
1518.259000,1.367372
1521.259000,1.374555
1524.259000,1.385661
1527.258000,1.378509
1530.258000,1.398171
1533.258000,1.418775
1536.257000,1.438900
1539.257000,1.436796
1542.257000,1.467374
1545.257000,1.477984
1548.257000,1.488104
1551.257000,1.508297
1554.257000,1.527126
1557.257000,1.542801
1560.255000,1.561566
1563.255000,1.579162
1566.255000,1.593803
1569.255000,1.615798
1572.255000,1.637589
1575.256000,1.655769
1578.254000,1.679283
1581.254000,1.699197
1584.254000,1.703477
1587.254000,1.742170
1590.254000,1.763647
1593.253000,1.785975
1596.253000,1.811702
1599.253000,1.831184
1602.253000,1.856483
1605.253000,1.877074
1608.251000,1.903658
1611.251000,1.929592
1614.252000,1.951678
1617.252000,1.978792
1620.252000,2.003965
1623.252000,2.029444
1626.250000,2.054261
1629.250000,2.081215
1632.250000,2.105273
1635.251000,2.129610
1638.251000,2.153032
1641.249000,2.179306
1644.249000,2.205669
1647.249000,2.229656
1650.249000,2.257762
1653.250000,2.281535
1656.248000,2.304553
1659.248000,2.328481
1662.248000,2.352142
1665.248000,2.380293
1668.248000,2.400621
1671.246000,2.427229
1674.247000,2.451532
1677.247000,2.469967
1680.247000,2.492036
1683.247000,2.513290
1686.247000,2.534866
1689.245000,2.553975
1692.246000,2.570017
1695.246000,2.594357
1698.246000,2.615376
1701.246000,2.631397
1704.244000,2.652243
1707.244000,2.671035
1710.244000,2.688345
1713.245000,2.709765
1716.244000,2.723264
1719.244000,2.745116
1722.244000,2.759180
1725.244000,2.775283
1728.243000,2.789261
1731.244000,2.807258
1734.244000,2.820999
1737.242000,2.832639
1740.242000,2.848035
1743.242000,2.859702
1746.242000,2.873283
1749.242000,2.888002
1752.241000,2.899526
1755.241000,2.911346
1758.241000,2.915993
1761.241000,2.931542
1764.241000,2.935510
1767.239000,2.948332
1770.241000,2.925964
1773.241000,2.953795
1776.239000,2.958119
1779.239000,2.966530
1782.239000,2.957174
1785.239000,2.973883
1788.239000,2.982558
1791.238000,2.966859
1794.238000,2.988324
1797.238000,2.969633
1800.238000,2.990244
1803.238000,2.990652
1806.238000,2.975712
1809.237000,2.981695
1812.237000,2.988742
1815.237000,2.997203
1818.237000,2.996588
1821.237000,2.974620
1824.235000,2.983072
1827.235000,2.972686
1830.236000,2.968277
1833.236000,2.961624
1836.236000,2.957797
1839.235000,2.950498
1842.234000,2.946177
1845.234000,2.945674
1848.235000,2.932052
1851.235000,2.928289
1854.235000,2.918659
1857.233000,2.912988
1860.233000,2.903997
1863.233000,2.890035
1866.233000,2.885116
1869.234000,2.872344
1872.232000,2.864322
1875.232000,2.851009
1878.232000,2.838632
1881.232000,2.830089
1884.232000,2.816090
1887.231000,2.803849
1890.232000,2.790183
1893.232000,2.779981
1896.230000,2.762674
1899.230000,2.751293
1902.230000,2.737277
1905.230000,2.720759
1908.231000,2.705509
1911.229000,2.691262
1914.229000,2.673364
1917.229000,2.659980
1920.229000,2.642840
1923.229000,2.628300
1926.230000,2.610113
1929.228000,2.592769
1932.228000,2.575520
1935.228000,2.559771
1938.228000,2.541067
1941.228000,2.523553
1944.226000,2.504533
1947.228000,2.486033
1950.228000,2.465548
1953.226000,2.452769
