Time(s),Position(V)
0.337000,0.858568
3.362000,0.851711
6.362000,0.849451
9.360000,0.851521
12.360000,0.849546
15.360000,0.851847
18.360000,0.850640
21.361000,0.849196
24.361000,0.855498
27.359000,0.846898
30.359000,0.850460
33.359000,0.852361
36.359000,0.849400
39.359000,0.854635
42.358000,0.857276
45.358000,0.858197
48.358000,0.850810
51.358000,0.849937
54.358000,0.855627
57.356000,0.857450
60.357000,0.854169
63.357000,0.855563
66.357000,0.848934
69.357000,0.849709
72.356000,0.848278
75.356000,0.856059
78.356000,0.858272
81.355000,0.854108
84.355000,0.852469
87.355000,0.858531
90.355000,0.856685
93.355000,0.854213
96.354000,0.848346
99.355000,0.859166
102.355000,0.860139
105.353000,0.852089
108.353000,0.852466
111.353000,0.858401
114.353000,0.855600
117.353000,0.854013
120.352000,0.846313
123.352000,0.857633
126.352000,0.847316
129.352000,0.848240
132.352000,0.844450
135.352000,0.856392
138.351000,0.854509
141.351000,0.855743
144.351000,0.866468
147.351000,0.850525
150.351000,0.851623
153.349000,0.854016
156.349000,0.849131
159.350000,0.851705
162.350000,0.846119
165.350000,0.852133
168.348000,0.851501
171.348000,0.845721
174.348000,0.858286
177.349000,0.851378
180.349000,0.847707
183.347000,0.850936
186.347000,0.853887
189.347000,0.852582
192.347000,0.849706
195.347000,0.849692
198.348000,0.849913
201.346000,0.855383
204.346000,0.855039
207.346000,0.847639
210.345000,0.849505
213.345000,0.850175
216.346000,0.846038
219.346000,0.850270
222.346000,0.849838
225.344000,0.858204
228.344000,0.815374
231.344000,0.450925
234.344000,-0.205174
237.345000,-0.476132
240.343000,-0.677173
243.343000,-1.014841
246.343000,-1.190838
249.343000,-1.292295
252.343000,-1.601299
255.342000,-1.751358
258.342000,-2.151148
261.342000,-2.151196
264.342000,-2.148371
267.342000,-2.144190
270.342000,-2.154062
273.341000,-2.149221
276.342000,-2.147834
279.340000,-2.158036
282.340000,-2.152495
285.341000,-2.152977
288.339000,-2.151097
291.339000,-2.154062
294.340000,-2.151995
297.340000,-2.152114
300.340000,-2.155279
303.338000,-2.152678
306.338000,-2.151444
309.338000,-2.153317
312.338000,-2.151556
315.339000,-2.152328
318.337000,-2.153851
321.337000,-2.152053
324.338000,-2.150587
327.336000,-2.152127
330.336000,-2.155860
333.337000,-2.153219
336.337000,-2.150655
339.337000,-2.153055
342.335000,-2.146539
345.335000,-2.161034
348.335000,-2.154330
351.335000,-2.155527
354.336000,-2.149727
357.336000,-2.154045
360.334000,-2.148045
363.334000,-2.152338
366.334000,-2.154643
369.334000,-2.150139
372.335000,-2.152600
375.333000,-2.148820
378.333000,-2.153297
381.334000,-2.151199
384.332000,-2.149843
387.332000,-2.154582
390.332000,-2.149724
393.333000,-2.157434
396.333000,-2.148857
399.331000,-2.153905
402.331000,-2.151815
405.330000,-2.149608
408.330000,-2.151505
411.331000,-2.141157
414.331000,-2.151176
417.330000,-2.152447
420.330000,-2.150159
423.330000,-2.152794
426.330000,-2.154684
429.328000,-2.150299
432.329000,-2.151356
435.329000,-2.150384
438.329000,-2.157216
441.329000,-2.149642
444.329000,-2.154483
447.327000,-2.148466
450.328000,-2.154086
453.328000,-2.154531
456.328000,-2.148572
459.328000,-2.150999
462.326000,-2.152770
465.326000,-2.148055
468.326000,-2.150989
