Marks,Intensity(V)
,0.151591
,0.158336
,0.144744
,0.128279
,0.147821
,0.130134
,0.174760
,0.141056
,0.155157
,0.132783
,0.134718
,0.168606
,0.195666
,0.144785
,0.133638
,0.137938
,0.129339
,0.100444
,0.097347
,0.094739
,0.093333
,0.112630
,0.110001
,0.103378
,0.111183
,0.083918
,0.108860
,0.118865
,0.120373
,0.118437
,0.105640
,0.126323
,0.101606
,0.113649
,0.110673
,0.118356
,0.114953
,0.097469
,0.106496
,0.102523
,0.109206
,0.123287
,0.124306
,0.135187
,0.125488
,0.138549
,0.173455
,0.162900
4331.4,0.203960
,0.226721
,0.220384
,0.244551
,0.244001
,0.278561
,0.279539
,0.347191
,0.436218
,0.552409
,0.636362
,0.707499
,0.881560
,0.972503
,1.013787
,1.201766
,1.194451
,1.263753
,1.158669
,1.164456
,1.036161
,0.948744
,0.595465
,0.593387
,0.364715
,0.343706
,0.340792
,0.352978
,0.362086
,0.370482
,0.401373
,0.478562
,0.577839
,0.631370
,0.650565
,0.840704
,0.968998
,0.959217
,0.972442
,0.828294
,0.695374
,0.771259
,0.807387
,0.496005
,0.306457
,0.295800
,0.261016
,0.144764
,0.138020
,0.150898
,0.115218
4334.0,0.106150
,0.137694
,0.107026
,0.102726
,0.105049
,0.091560
,0.088279
,0.101932
,0.094372
,0.117642
,0.100566
,0.098447
,0.096185
,0.125508
,0.108269
,0.119741
,0.123511
,0.105375
,0.103256
