Marks,Intensity(V)
,0.173007
,0.149573
,0.123919
,0.151550
,0.154382
,0.145111
,0.160434
,0.147923
,0.150490
,0.156909
,0.146598
,0.149512
,0.179915
,0.173659
,0.159823
,0.176593
,0.155585
,0.140485
,0.162941
,0.171988
,0.173618
,0.156970
,0.166975
,0.222646
,0.160985
,0.191897
,0.177225
,0.180098
,0.189023
,0.224011
,0.218448
,0.203654
,0.209604
,0.201494
,0.222523
,0.243553
,0.246528
,0.254536
,0.286141
,0.301424
,0.314669
,0.437787
,0.491644
,0.517788
6555.6,0.707499
,0.903201
,2.084747
,2.757355
,5.316395
,7.267300
,9.459674
,10.638674
,11.099564
,11.153645
,11.259463
,11.272280
,11.348898
,11.359576
,11.134938
,10.973287
,10.708119
,10.223877
,9.995287
,9.244920
,8.847159
,7.761242
,7.003845
,6.775315
,5.693270
,5.556947
,5.566035
,5.020234
,4.584205
,3.960094
,4.047308
,4.631276
,5.505556
,6.116686
,8.595970
,9.657699
,10.871034
,11.165647
,11.361939
,11.549287
,11.696471
,11.589409
,11.464233
,11.273340
,10.828446
,10.630666
,10.654650
,10.445784
,9.901980
,9.005387
,8.273706
,7.442218
,7.432844
,7.260719
,6.713858
,6.212153
,5.725812
,5.153215
,4.459374
,4.590807
,4.819397
,4.685560
,4.562829
,4.004761
,3.538145
,2.901116
,3.001677
,3.103766
,3.184113
,3.003287
,2.747167
,2.398453
,2.105308
,1.998552
,1.667648
,1.235531
,0.924128
,0.785339
,0.645084
,0.673877
,0.720316
,0.691258
,0.576087
,0.468353
,0.408831
,0.308107
,0.302809
,0.279029
6550.0,0.251520
,0.266558
,0.232101
,0.223359
,0.209869
,0.227659
,0.195035
,0.176023
,0.183135
,0.198784
,0.179141
,0.173924
,0.174658
