Marks,Intensity(V)
,0.099833
,0.081636
,0.103195
,0.100098
,0.111203
,0.092721
,0.108086
,0.106129
,0.094922
,0.094535
,0.121107
,0.114158
,0.098732
,0.129767
,0.107169
,0.115177
,0.119782
,0.100974
,0.104764
,0.086343
,0.103093
,0.111224
,0.104764
,0.090337
,0.105375
,0.090704
,0.097021
,0.117663
,0.100628
,0.100016
,0.117724
,0.099018
,0.118967
,0.104499
,0.113934
,0.111061
,0.142727
,0.103908
,0.115666
,0.104173
,0.135004
,0.128809
,0.164632
,0.150694
,0.150327
,0.195972
,0.212926
,0.238703
,0.257613
4851.8,0.425663
,0.414089
,0.464257
,0.596688
,0.673897
,0.842355
,1.029641
,1.340596
,1.525029
,1.595860
,1.948995
,2.228956
,2.659117
,3.652726
,4.228685
,5.725486
,5.992915
,5.996359
,6.644983
,6.957996
,7.954396
,7.520792
,6.910028
,4.831135
,4.058108
,2.828981
,1.993478
,1.186830
,1.278751
,1.168837
,1.007776
,0.986115
,1.065729
,1.674087
,1.911053
,2.176607
,3.046486
,3.822997
,4.124986
,4.458498
,6.010970
,5.900505
,6.055106
,4.437510
,3.973360
,3.101341
,1.820395
,0.957139
,0.696658
,0.602618
,0.332193
,0.298958
,0.275830
,0.182258
,0.198214
,0.159721
4855.0,0.142992
,0.124652
,0.105640
,0.124917
,0.086914
,0.128789
,0.110551
,0.128931
,0.111224
,0.094229
,0.088116
,0.101402
,0.107984
,0.103786
,0.081677
