Marks,Intensity(V)
,0.084917
,0.085834
,0.124673
,0.094250
,0.095105
,0.093720
,0.091804
,0.099812
,0.102889
,0.116379
,0.126038
,0.112344
,0.095676
,0.104703
,0.133455
,0.105396
,0.097591
,0.111305
,0.125406
,0.095900
,0.118580
,0.107311
,0.100872
,0.115584
,0.110286
,0.113302
,0.110368
,0.124347
,0.121392
,0.111183
,0.118132
,0.118458
,0.106781
,0.120760
,0.130582
,0.114138
,0.128789
,0.146333
,0.149247
,0.145885
,0.165692
,0.229574
,0.179344
4853.2,0.236156
,0.430411
,0.730831
,0.997812
,2.698792
,2.900097
,2.960923
,3.677117
,4.029356
,5.910123
,5.920556
,6.133518
,6.054821
,5.946578
,4.609574
,3.808040
,3.096838
,2.416915
,2.121630
,2.502519
,2.134101
,1.582513
,1.145607
,1.001215
,1.036691
,1.166738
,1.292261
,2.732923
,3.360335
,4.771389
,5.904846
,7.201666
,6.374171
,6.279092
,7.695648
,6.870334
,5.939711
,3.665197
,3.169584
,3.111958
,2.843245
,2.572209
,1.734709
,1.454157
,1.138455
,0.930649
,0.773521
,0.566367
,0.461751
,0.338082
,0.348536
,0.321821
,0.357726
,0.350716
,0.328546
,0.347476
,0.224541
,0.167587
,0.144499
4850.0,0.159253
,0.169115
,0.119558
,0.154586
,0.133374
,0.126771
,0.127851
,0.143399
,0.117500
,0.110735
,0.093679
,0.114056
,0.113078
,0.115116
,0.095615
,0.105151
