Marks,Intensity(V)
,0.204836
,0.209054
,0.203675
,0.194688
,0.184378
,0.178590
,0.202269
,0.170236
,0.174107
,0.209869
,0.272835
,0.283655
,0.262137
,0.211092
,0.185437
,0.175350
,0.171234
,0.180017
,0.197521
,0.178366
,0.174454
,0.165855
,0.183522
,0.160170
,0.184989
,0.179996
,0.191856
,0.192773
,0.170704
,0.172274
,0.208606
,0.223542
,0.212702
,0.197725
,0.209136
,0.185131
,0.237603
,0.227760
,0.227149
,0.258978
,0.244531
,0.264623
,0.297532
4094.0,0.313833
,0.306762
,0.273018
,0.338102
,0.309921
,0.379407
,0.345194
,0.368770
,0.431674
,0.402433
,0.560356
,0.578675
,0.613112
,0.655354
,0.742283
,0.684636
,0.725512
,0.781936
,0.695578
,0.661447
,0.583810
,0.584625
,0.550289
,0.581446
,0.464950
,0.482862
,0.398337
,0.456534
,0.401801
,0.424583
,0.436911
,0.505480
,0.614681
,0.733969
,0.798259
,0.824688
,0.831371
,0.848712
,0.902814
,0.798483
,0.756384
,0.561415
,0.600580
,0.488486
,0.434649
,0.396075
,0.367710
,0.338388
,0.307374
,0.291582
,0.265234
,0.258795
,0.272794
4091.4,0.237847
,0.273792
,0.246100
,0.232406
,0.231449
,0.229452
,0.246670
,0.207770
,0.229105
,0.258224
,0.192630
,0.210949
,0.260771
,0.215025
,0.169421
,0.144846
,0.145355
,0.138855
,0.270023
,0.219895
,0.097041
,0.082207
