Marks,Intensity(V)
,0.123389
,0.093577
,0.111937
,0.133129
,0.114973
,0.136512
,0.134841
,0.131417
,0.125916
,0.127607
,0.137999
,0.118947
,0.131927
,0.127260
,0.126894
,0.157215
,0.123430
,0.133374
,0.147699
,0.144296
,0.147678
,0.121983
,0.135330
,0.119497
,0.142136
,0.134922
,0.132029
,0.127444
,0.130297
,0.154301
,0.122941
,0.148473
,0.141219
,0.147413
,0.142543
,0.141423
,0.133598
,0.146517
,0.135371
,0.105559
,0.116318
,0.148677
,0.160231
,0.151489
,0.147678
,0.156216
,0.139222
,0.179283
,0.173557
,0.121820
,0.153730
,0.160781
,0.151611
,0.146293
,0.157908
,0.171194
,0.225947
,0.303196
4332.0,0.324124
,0.280089
,0.279661
,0.482332
,0.484858
,0.903894
,0.924352
,0.976253
,0.984404
,0.932849
,0.941897
,0.714386
,0.656780
,0.613886
,0.573091
,0.500732
,0.518970
,0.467640
,0.381893
,0.376024
,0.429983
,0.404104
,0.918402
,0.890119
,0.978188
,0.927307
,0.963497
,1.087165
,1.260513
,1.141287
,1.045168
,0.911494
,0.804759
,0.668212
,0.559337
,0.491909
,0.448526
,0.421832
,0.418062
,0.458817
,0.450197
,0.367853
,0.359906
,0.253762
,0.253599
,0.183827
,0.212905
,0.203023
,0.214882
,0.175106
,0.205509
,0.184765
,0.177083
,0.136145
,0.152467
,0.173129
4329.4,0.156237
,0.148188
,0.155462
,0.191367
,0.172110
,0.170215
,0.170460
,0.159782
,0.155646
,0.174006
,0.121229
,0.113343
,0.121718
