Marks,Intensity(V)
,0.108880
,0.085936
,0.101402
,0.100668
,0.084774
,0.102991
,0.108514
,0.093536
,0.104479
,0.095513
,0.122472
,0.127260
,0.118254
,0.095533
,0.112263
,0.102013
,0.120088
,0.115584
,0.116155
,0.123654
,0.127423
,0.119884
,0.107006
,0.109981
,0.107291
,0.115584
,0.129767
,0.136389
,0.139487
,0.142666
,0.134535
,0.148086
,0.177510
,0.191082
,0.201739
,0.201229
,0.235565
,0.248891
4851.8,0.232060
,0.289748
,0.404776
,0.500019
,0.530809
,0.542587
,0.579327
,0.673673
,0.747907
,1.076162
,1.163926
,1.235022
,1.293667
,1.524112
,11.504946
,12.000000
,3.319315
,3.662670
,3.935988
,4.167533
,4.322094
,4.981416
,6.484208
,7.285069
,7.981335
,7.694568
,6.714347
,5.787901
,5.300827
,1.725132
,1.734526
,2.041792
,1.289367
,0.977170
,0.923293
,1.076528
,1.479934
,1.609227
,1.662676
,2.966058
,3.004061
,3.089217
,5.050779
,5.766118
,6.080415
,5.501358
,4.142938
,3.217022
,2.870245
,0.689791
,0.679440
,0.522149
,0.433019
,0.429535
,0.290379
,0.269819
4855.0,0.218611
,0.175412
,0.132722
,0.144499
,0.137775
,0.141056
,0.117520
,0.122777
,0.111224
,0.128157
,0.116827
,0.114382
,0.149859
,0.121881
,0.101891
,0.123389
,0.110327
