Time(s),Position(V)
0.350000,0.439210
3.365000,0.493609
6.365000,0.526257
9.363000,0.570035
12.363000,0.591272
15.363000,0.844532
18.363000,1.100467
21.364000,1.074155
24.362000,1.033858
27.362000,0.996076
30.362000,0.778779
33.362000,0.398138
36.362000,0.868012
39.361000,0.867828
42.362000,0.704124
45.362000,0.645911
48.360000,0.657633
51.360000,0.724143
54.360000,0.790739
57.360000,1.298557
60.361000,1.777691
63.359000,1.808333
66.359000,1.798750
69.359000,1.792913
72.359000,1.787994
75.359000,1.776344
78.360000,1.765300
81.358000,1.757817
84.358000,1.769443
87.358000,1.767598
90.358000,1.760751
93.358000,1.752956
96.356000,1.747316
99.357000,1.758307
102.357000,1.786709
105.357000,1.779700
108.357000,1.774281
111.355000,1.765956
114.355000,1.754278
117.356000,1.746677
120.356000,1.738070
123.356000,1.736139
126.356000,1.727973
129.354000,1.725138
132.354000,1.717211
135.354000,1.712329
138.355000,1.706526
141.355000,1.701879
144.353000,1.696443
147.353000,1.696345
150.353000,1.693598
153.353000,1.816948
156.354000,2.291261
159.352000,2.261250
162.352000,2.229217
165.352000,2.247000
168.352000,1.934800
171.352000,1.894442
174.352000,1.863017
177.351000,1.830562
180.351000,1.797176
183.351000,1.763372
186.351000,1.730309
189.351000,1.696267
192.349000,1.662272
195.350000,1.629494
198.350000,1.595425
201.350000,1.561536
204.350000,1.528496
207.348000,1.499101
210.348000,1.473857
213.348000,1.447820
216.349000,1.421114
219.348000,1.398413
222.348000,1.371445
225.348000,1.347975
228.348000,1.322102
231.346000,1.297636
234.347000,1.272962
237.347000,1.246773
240.347000,1.224031
243.347000,1.198681
246.347000,1.175388
249.345000,1.158485
252.345000,1.136185
255.346000,1.112600
258.346000,1.094215
261.346000,2.297060
264.344000,3.745673
267.344000,5.074719
270.344000,5.356494
273.345000,5.334295
276.345000,5.319236
279.343000,5.306967
282.343000,5.296571
285.343000,5.294984
288.343000,5.297612
291.343000,5.580274
294.344000,7.040182
297.342000,8.397849
300.342000,8.187307
303.342000,6.708677
306.342000,5.902532
309.342000,5.852441
312.341000,5.844786
315.341000,5.832932
318.341000,5.824793
321.341000,5.815639
324.341000,5.807181
327.339000,5.805427
330.339000,5.796857
333.340000,5.789752
336.340000,5.783276
339.340000,5.775709
342.338000,5.768954
345.338000,5.765466
348.338000,5.759738
351.339000,5.752072
354.339000,5.745168
357.339000,5.739032
360.337000,5.734011
363.337000,5.726093
366.337000,5.724686
369.337000,5.720746
372.338000,5.714443
375.336000,5.708498
378.336000,5.703909
381.336000,5.696158
384.336000,5.694064
387.336000,5.689889
390.335000,5.684885
393.335000,5.691195
396.335000,5.698673
399.335000,5.706254
402.335000,5.705618
405.335000,5.698520
408.333000,5.693115
411.334000,5.684685
414.335000,5.683294
417.333000,5.675465
420.333000,5.670424
423.333000,5.663686
426.333000,5.661572
429.334000,5.653947
432.332000,5.652699
435.332000,5.645118
438.332000,5.643082
441.332000,5.638374
444.332000,5.632911
447.330000,5.627788
450.331000,5.622423
453.331000,5.615006
456.331000,5.611671
459.331000,5.603794
462.329000,5.602268
465.330000,5.596533
468.331000,5.590234
471.330000,5.582405
474.330000,5.579152
477.330000,5.571822
480.328000,5.566944
483.328000,5.561553
486.328000,5.557589
489.329000,5.551201
492.329000,5.544579
495.327000,5.540190
498.328000,5.531981
501.328000,5.530295
504.326000,5.522438
507.327000,5.520378
510.327000,5.513005
513.327000,5.507352
516.327000,5.500536
