Marks,Intensity(V)
,0.162166
,0.166018
,0.128870
,0.114810
,0.140669
,0.127220
,0.130256
,0.091030
,0.100179
,0.109655
,0.098162
,0.079313
,0.085508
,0.082655
,0.088544
,0.068839
,0.107046
,0.078417
,0.104071
,0.089114
,0.085385
,0.081229
,0.076032
,0.080964
,0.079007
,0.083837
,0.084856
,0.082492
,0.076583
,0.073771
,0.110938
,0.110694
,0.118784
,0.096022
,0.106313
,0.140506
,0.157378
,0.163471
,0.150042
,0.193262
,0.202371
4092.8,0.266558
,0.340568
,0.395158
,0.520213
,0.528730
,0.618675
,0.590412
,0.596321
,0.695660
,0.712695
,0.714814
,0.631676
,0.538899
,0.413600
,0.378999
,0.263950
,0.233425
,0.269860
,0.259304
,0.243186
,0.272631
,0.305336
,0.399539
,0.464257
,0.578328
,0.581242
,0.595853
,0.549984
,0.552246
,0.492581
,0.429942
,0.356605
,0.284388
,0.246895
,0.174230
,0.162370
,0.094474
,0.105070
,0.085222
,0.099201
4095.0,0.094637
,0.095819
,0.086873
,0.111570
,0.094983
,0.077724
,0.090296
,0.091152
,0.079150
,0.120536
,0.123470
,0.108758
,0.090948
,0.097653
,0.102156
,0.071468
