Time(s),Position(V)
0.355000,1.893956
3.372000,1.843905
6.370000,1.885576
9.371000,1.915110
12.371000,1.923126
15.371000,1.932968
18.371000,1.929521
21.371000,1.932788
24.369000,1.943642
27.369000,1.917215
30.370000,1.909155
33.370000,1.896645
36.370000,1.883492
39.368000,1.874783
42.368000,1.860175
45.368000,1.846914
48.369000,1.834564
51.369000,1.841713
54.367000,1.819467
57.367000,1.792546
60.367000,1.800321
63.367000,1.770643
66.367000,1.753405
69.368000,1.741694
72.366000,1.721127
75.366000,1.715603
78.366000,1.690522
81.366000,1.667021
84.366000,1.648052
87.365000,1.634240
90.365000,1.606327
93.365000,1.580036
96.365000,1.560033
99.365000,1.534218
102.364000,1.508436
105.364000,1.485432
108.365000,1.468785
111.363000,1.429378
114.363000,1.399140
117.363000,1.369103
120.363000,1.343195
123.363000,1.304618
126.362000,1.271722
129.362000,1.241004
132.362000,1.209467
135.362000,1.172865
138.362000,1.137297
141.360000,1.103724
144.360000,1.068641
147.361000,1.029891
150.361000,1.004371
153.361000,0.953651
156.361000,0.911042
159.359000,0.877897
162.359000,0.833507
165.360000,0.786472
168.360000,0.742806
171.360000,0.699371
174.358000,0.655035
177.358000,0.610343
180.358000,0.562387
183.358000,0.513543
186.359000,0.469367
189.357000,0.423301
192.357000,0.373261
195.357000,0.322453
198.357000,0.274160
201.357000,0.225803
204.358000,0.175671
207.356000,0.125583
210.356000,0.073785
213.356000,0.026516
216.356000,-0.026152
219.356000,-0.080805
222.354000,-0.130325
225.355000,-0.178121
228.355000,-0.228617
231.355000,-0.270495
234.355000,-0.332562
237.353000,-0.385754
240.353000,-0.437249
243.355000,-0.490059
246.353000,-0.538974
249.353000,-0.593396
252.353000,-0.647264
255.353000,-0.699976
258.353000,-0.750703
261.351000,-0.805492
264.352000,-0.857762
267.352000,-0.914975
270.352000,-0.967908
273.352000,-1.021059
276.352000,-1.075090
279.350000,-1.124559
282.351000,-1.173032
285.351000,-1.218802
288.351000,-1.267027
291.351000,-1.311138
294.349000,-1.353961
297.350000,-1.400398
300.350000,-1.443438
303.349000,-1.487791
306.349000,-1.535564
309.349000,-1.582085
312.349000,-1.634162
315.349000,-1.681924
318.347000,-1.727864
321.348000,-1.775736
324.349000,-1.820646
327.348000,-1.862031
330.348000,-1.899218
333.348000,-1.934426
336.346000,-1.969165
339.346000,-1.999648
342.347000,-2.028907
345.347000,-2.058778
348.347000,-2.089003
351.345000,-2.119931
354.345000,-2.148687
357.345000,-2.181074
360.346000,-2.214892
363.346000,-2.248070
366.344000,-2.279403
369.344000,-2.311328
372.344000,-2.341736
375.344000,-2.365056
378.344000,-2.391881
381.343000,-2.415847
384.343000,-2.432025
387.343000,-2.448421
390.343000,-2.464378
