Marks,Intensity(V)
,0.113486
,0.104234
,0.096837
,0.106374
,0.101137
,0.098957
,0.100648
,0.093577
,0.113119
,0.093536
,0.107861
,0.105946
,0.104805
,0.115992
,0.086323
,0.110225
,0.090276
,0.108147
,0.094657
,0.112426
,0.101117
,0.118295
,0.085284
,0.114138
,0.114117
,0.101422
,0.090133
,0.106802
,0.093883
,0.081025
,0.096674
,0.113832
,0.118865
,0.105844
,0.097082
,0.097265
,0.098447
,0.110246
,0.100587
,0.100872
,0.098732
,0.084856
,0.100342
,0.102462
,0.096899
,0.101972
,0.125834
,0.128870
,0.193445
,0.178713
4331.8,0.255494
,0.276849
,0.276176
,0.333375
,0.434405
,0.607631
,0.998953
,0.929120
,0.965636
,0.885310
,0.944485
,0.902875
,0.819308
,0.677157
,0.542729
,0.536229
,0.525490
,0.490686
,0.498307
,0.374557
,0.361821
,0.410319
,0.432978
,0.706663
,0.751187
,0.927246
,0.891728
,0.933114
,0.983038
,1.189112
,1.159382
,1.108296
,0.986788
,0.831331
,0.725879
,0.599561
,0.517727
,0.412601
,0.393691
,0.325183
,0.408404
,0.400192
,0.368709
,0.328158
,0.234546
,0.208341
,0.144235
,0.161046
,0.137204
,0.152161
,0.150694
,0.124836
4329.4,0.112304
,0.124978
,0.108656
,0.123959
,0.105600
,0.106578
,0.104642
,0.117928
,0.096491
,0.107556
,0.098223
,0.122227
,0.118559
,0.128218
,0.106435
,0.110510
,0.094474
,0.092375
,0.121025
,0.102645
,0.106578
