Time(s),Position(V)
0.357000,-0.597737
3.373000,-0.542126
6.373000,-0.572445
9.373000,-0.582151
12.373000,-0.567843
15.373000,-0.572235
18.373000,-0.546191
21.372000,-0.532522
24.372000,-0.527722
27.372000,-0.493714
30.372000,-0.472267
33.372000,-0.467528
36.370000,-0.446448
39.370000,-0.429348
42.371000,-0.379458
45.371000,-0.348006
48.371000,-0.312030
51.369000,-0.278477
54.369000,-0.240726
57.369000,-0.203067
60.370000,-0.162596
63.370000,-0.119705
66.370000,-0.076835
69.368000,-0.027386
72.368000,0.026536
75.368000,0.077589
78.368000,0.130284
81.369000,0.176140
84.367000,0.235994
87.367000,0.294723
90.367000,0.356287
93.367000,0.395225
96.367000,0.463255
99.366000,0.525519
102.366000,0.579346
105.366000,0.647917
108.366000,0.714917
111.366000,0.778412
114.366000,0.840354
117.364000,0.890533
120.365000,0.973412
123.365000,1.032427
126.365000,1.114027
129.365000,1.184566
132.363000,1.255425
135.363000,1.330808
138.363000,1.385063
141.364000,1.475064
144.364000,1.531522
147.362000,1.618742
150.362000,1.687911
153.362000,1.746487
156.362000,1.826089
159.363000,1.905616
162.363000,1.986717
165.361000,2.052017
168.361000,2.129589
171.361000,2.216044
174.361000,2.296958
177.361000,2.375455
180.360000,2.461669
183.360000,2.527224
186.360000,2.596063
189.360000,2.665650
192.360000,2.731977
195.358000,2.791920
198.359000,2.856129
201.359000,2.920960
204.359000,2.985550
207.359000,3.049555
210.357000,3.114977
213.357000,3.175882
216.357000,3.259591
219.358000,3.334358
222.358000,3.411166
225.358000,3.486107
228.356000,3.549752
231.356000,3.606434
234.356000,3.659122
237.357000,3.705566
240.357000,3.746808
243.355000,3.794115
246.355000,3.844940
249.355000,3.894875
252.355000,3.943273
255.355000,3.998106
258.356000,4.053368
261.354000,4.111047
264.354000,4.164908
267.354000,4.214241
270.354000,4.254266
273.354000,4.290460
276.353000,4.327147
279.353000,4.358048
282.353000,4.386998
285.353000,4.420476
288.353000,4.444796
291.351000,4.469782
294.351000,4.496624
297.353000,4.519040
300.352000,4.545593
303.352000,4.573356
306.350000,4.591850
309.350000,4.602170
312.350000,4.637056
315.351000,4.658000
318.351000,4.677424
321.351000,4.694194
324.349000,4.709060
327.349000,4.718833
330.349000,4.733056
333.349000,4.718177
336.350000,4.736636
339.348000,4.745600
342.348000,4.732094
345.348000,4.740103
348.348000,4.720927
351.348000,4.716770
354.349000,4.724680
357.348000,4.705545
360.348000,4.687963
363.346000,4.676187
366.347000,4.659023
369.347000,4.637701
372.345000,4.616819
375.346000,4.595031
378.346000,4.574421
381.346000,4.550216
384.346000,4.524312
387.344000,4.502954
390.344000,4.478525
393.345000,4.455705
396.345000,4.431415
399.345000,4.408707
402.345000,4.384720
405.343000,4.356481
408.343000,4.329520
411.343000,4.301100
414.344000,4.267266
417.344000,4.234733
420.342000,4.199086
423.342000,4.159435
426.342000,4.115204
429.342000,4.068452
432.343000,4.018214
435.341000,3.969565
438.341000,3.922217
441.341000,3.874291
444.341000,3.831502
447.341000,3.789706
450.339000,3.750180
453.340000,3.708907
456.340000,3.668787
459.340000,3.624380
462.340000,3.584895
465.340000,3.537700
468.338000,3.491060
471.339000,3.442240
474.339000,3.389997
477.339000,3.330524
480.339000,3.273525
483.337000,3.212889
486.337000,3.154863
489.337000,3.103603
492.338000,3.051108
495.338000,2.998828
498.338000,2.951290
501.336000,2.902314
504.336000,2.854011
507.336000,2.805769
510.337000,2.761393
513.337000,2.713232
516.335000,2.668523
519.335000,2.621767
522.335000,2.574432
525.335000,2.527105
528.335000,2.480189
531.334000,2.435320
534.334000,2.384875
537.334000,2.335335
540.334000,2.289296
543.334000,2.241846
546.332000,2.193288
549.333000,2.146318
552.333000,2.102835
555.333000,2.057143
558.333000,2.010591
561.333000,1.969060
564.331000,1.925282
567.331000,1.889278
570.332000,1.846414
573.332000,1.806100
576.332000,1.768645
579.330000,1.735806
582.330000,1.712101
585.330000,1.665553
588.331000,1.631181
591.331000,1.615907
594.329000,1.582235
597.329000,1.536873
600.329000,1.504789
603.329000,1.489491
606.329000,1.465127
609.330000,1.453188
612.328000,1.408710
615.328000,1.383370
618.328000,1.361314
621.328000,1.340217
624.328000,1.325892
627.327000,1.307667
630.327000,1.288804
633.327000,1.275580
636.327000,1.263243
639.327000,1.247296
642.325000,1.237584
645.325000,1.230248
648.326000,1.223351
651.326000,1.219825
654.326000,1.226356
657.326000,1.202012
660.324000,1.201098
663.325000,1.198031
666.324000,1.208400
669.324000,1.220390
672.324000,1.206816
675.324000,1.234259
678.324000,1.239396
681.324000,1.245695
684.322000,1.247266
687.323000,1.259157
690.323000,1.262431
693.323000,1.282403
696.323000,1.291449
699.323000,1.309789
702.321000,1.326806
705.322000,1.343845
708.322000,1.355821
711.322000,1.380270
714.321000,1.396553
717.321000,1.417110
720.321000,1.440722
723.319000,1.460443
726.320000,1.485320
729.320000,1.509782
732.320000,1.535064
735.320000,1.565615
738.320000,1.591954
741.318000,1.622325
744.319000,1.651948
747.319000,1.681918
750.319000,1.686017
753.319000,1.736639
756.317000,1.777646
759.317000,1.809703
762.317000,1.843735
765.318000,1.860175
768.318000,1.902896
771.317000,1.946025
774.317000,1.976906
777.317000,2.009799
780.315000,2.058231
783.316000,2.108791
786.316000,2.153127
789.316000,2.195410
792.316000,2.240483
795.314000,2.289398
798.314000,2.302183
801.314000,2.363690
804.315000,2.408073
807.315000,2.446851
810.313000,2.485499
813.313000,2.526068
816.313000,2.565417
819.313000,2.603902
822.314000,2.642435
825.314000,2.679598
828.312000,2.714521
831.312000,2.753414
834.312000,2.789204
837.312000,2.824694
840.312000,2.861942
843.311000,2.897925
846.311000,2.934690
849.311000,2.972275
852.311000,3.009951
855.311000,3.038371
858.309000,3.077808
861.310000,3.117340
864.310000,3.155832
867.310000,3.194664
870.310000,3.235495
873.310000,3.280467
876.308000,3.325564
879.309000,3.367595
882.308000,3.409408
885.308000,3.450875
888.308000,3.484682
891.308000,3.517766
894.308000,3.545499
897.308000,3.576468
900.307000,3.604241
903.307000,3.632202
906.307000,3.653201
909.307000,3.676684
912.307000,3.699083
915.305000,3.725286
918.305000,3.740060
921.306000,3.768102
924.306000,3.786371
927.306000,3.807618
930.304000,3.821362
933.304000,3.829344
936.305000,3.856162
939.304000,3.881811
942.304000,3.898597
945.304000,3.914493
948.304000,3.932150
951.304000,3.946635
954.302000,3.965288
957.302000,3.970530
960.303000,3.973287
963.303000,4.006020
966.303000,4.016766
969.303000,4.022712
972.301000,4.034698
975.301000,4.049207
978.302000,4.055772
981.302000,4.056142
984.302000,4.054476
987.300000,4.064780
990.300000,4.049384
993.300000,4.067377
996.300000,4.057995
999.301000,4.046165
1002.299000,4.041847
1005.299000,4.049537
1008.299000,4.033648
1011.299000,4.028576
1014.298000,4.020234
1017.300000,4.015107
1020.298000,4.003532
1023.298000,3.992259
1026.298000,3.978760
1029.298000,3.967953
1032.298000,3.954196
1035.296000,3.939068
1038.298000,3.926235
1041.298000,3.910210
1044.296000,3.896786
1047.296000,3.878133
1050.296000,3.860279
1053.296000,3.845712
1056.297000,3.827651
1059.295000,3.809443
1062.295000,3.790240
1065.295000,3.771243
1068.295000,3.758162
1071.295000,3.737684
1074.293000,3.716386
1077.294000,3.696075
1080.294000,3.675637
1083.294000,3.654774
1086.294000,3.633878
1089.294000,3.612370
1092.292000,3.589498
1095.293000,3.566164
1098.293000,3.541127
1101.293000,3.515495
1104.293000,3.487790
1107.291000,3.459972
1110.291000,3.433153
1113.291000,3.402198
1116.291000,3.371705
1119.291000,3.337132
1122.291000,3.302329
1125.291000,3.269197
1128.291000,3.233758
1131.289000,3.200467
1134.290000,3.167339
1137.290000,3.132304
1140.290000,3.102104
1143.290000,3.073137
1146.288000,3.042049
1149.288000,3.012834
1152.288000,2.982150
1155.289000,2.953897
1158.289000,2.925284
1161.289000,2.896494
1164.287000,2.868381
1167.287000,2.839047
1170.287000,2.812745
1173.288000,2.784230
1176.288000,2.757266
1179.286000,2.729716
1182.286000,2.703411
1185.286000,2.676991
1188.286000,2.650237
1191.286000,2.623565
1194.285000,2.596318
1197.285000,2.569174
1200.285000,2.545384
1203.285000,2.518953
1206.285000,2.491761
1209.283000,2.466585
1212.284000,2.443302
1215.284000,2.415905
1218.284000,2.390865
1221.283000,2.365026
1224.283000,2.340499
1227.283000,2.316526
1230.283000,2.294623
1233.282000,2.269820
1236.282000,2.246792
1239.282000,2.223741
1242.282000,2.204014
1245.282000,2.183195
1248.282000,2.163271
1251.281000,2.145910
1254.281000,2.128121
1257.281000,2.108598
1260.281000,2.093609
1263.281000,2.072182
1266.279000,2.059907
1269.279000,2.045551
1272.280000,2.027687
1275.280000,2.012474
1278.280000,2.002915
1281.280000,1.991255
1284.278000,1.977609
1287.278000,1.967194
1290.278000,1.961778
1293.278000,1.947514
1296.278000,1.941585
1299.278000,1.938856
1302.278000,1.929432
1305.276000,1.919703
1308.276000,1.939342
1311.277000,1.927185
1314.277000,1.907404
1317.277000,1.927838
1320.277000,1.940205
1323.275000,1.931492
1326.275000,1.909042
1329.276000,1.899153
1332.276000,1.927165
1335.276000,1.933539
1338.274000,1.938019
1341.274000,1.941997
1344.274000,1.941188
1347.274000,1.945712
1350.275000,1.946749
1353.273000,1.964345
1356.273000,1.971028
1359.273000,1.969454
1362.273000,1.976161
1365.273000,1.991959
1368.274000,1.997877
1371.272000,2.011339
1374.272000,2.004115
1377.272000,2.037743
1380.272000,2.049654
1383.272000,2.062521
1386.270000,2.075827
1389.271000,2.091417
1392.271000,2.106412
1395.271000,2.121787
1398.271000,2.135888
1401.271000,2.145529
1404.269000,2.173408
1407.269000,2.185436
1410.270000,2.204258
1413.270000,2.211326
1416.270000,2.221793
1419.268000,2.244790
1422.268000,2.282392
1425.268000,2.304060
1428.269000,2.325034
1431.269000,2.343772
1434.267000,2.369408
1437.267000,2.378994
1440.267000,2.385898
1443.267000,2.421209
1446.267000,2.449213
1449.266000,2.471976
1452.266000,2.494440
1455.266000,2.515408
1458.265000,2.541295
1461.265000,2.562269
1464.265000,2.584927
1467.266000,2.603345
1470.266000,2.627916
1473.264000,2.650390
1476.264000,2.670454
1479.264000,2.694162
1482.264000,2.718016
1485.264000,2.740520
1488.265000,2.764636
1491.263000,2.788269
1494.263000,2.803825
1497.263000,2.831275
1500.263000,2.858927
1503.263000,2.876451
1506.262000,2.871559
1509.262000,2.910802
1512.262000,2.932114
1515.262000,2.954652
1518.262000,2.978207
1521.262000,2.997033
1524.260000,3.021907
1527.261000,3.039982
1530.261000,3.065505
1533.261000,3.093200
1536.260000,3.105649
1539.260000,3.121712
1542.260000,3.151386
1545.259000,3.172126
1548.259000,3.194015
1551.259000,3.216451
1554.259000,3.243368
1557.259000,3.266230
1560.259000,3.286371
1563.257000,3.309597
1566.258000,3.333012
1569.258000,3.353300
1572.257000,3.375536
1575.257000,3.363794
1578.257000,3.399577
1581.257000,3.420242
1584.258000,3.437216
1587.256000,3.452442
1590.256000,3.462260
1593.256000,3.477380
1596.256000,3.489272
1599.256000,3.501255
1602.254000,3.509040
1605.256000,3.523766
1608.256000,3.528522
1611.254000,3.539625
1614.254000,3.551910
1617.254000,3.560365
1620.254000,3.537945
1623.255000,3.570553
1626.254000,3.571148
1629.254000,3.559382
1632.254000,3.587893
1635.252000,3.589284
1638.252000,3.586068
1641.252000,3.586676
1644.253000,3.578851
1647.253000,3.598102
1650.251000,3.581570
1653.251000,3.597218
1656.251000,3.608997
1659.251000,3.594043
1662.252000,3.584504
1665.250000,3.586058
1668.250000,3.589348
1671.250000,3.601111
1674.250000,3.577838
1677.250000,3.571420
1680.250000,3.564825
1683.249000,3.562194
1686.249000,3.556649
1689.249000,3.551149
1692.249000,3.543962
1695.249000,3.534886
1698.247000,3.533774
1701.248000,3.522984
1704.248000,3.516848
1707.248000,3.507200
1710.247000,3.495282
1713.247000,3.488408
1716.247000,3.478132
1719.246000,3.465030
1722.247000,3.452870
1725.247000,3.440415
1728.247000,3.434122
1731.245000,3.417210
1734.245000,3.403102
1737.245000,3.391911
1740.246000,3.373285
1743.246000,3.361921
1746.244000,3.344931
1749.244000,3.326764
1752.244000,3.309416
1755.244000,3.291294
1758.244000,3.275089
1761.243000,3.255678
1764.243000,3.238878
1767.243000,3.220058
1770.243000,3.199828
1773.243000,3.182453
1776.243000,3.163518
1779.242000,3.146490
1782.242000,3.126447
1785.242000,3.109528
1788.242000,3.093438
1791.242000,3.076880
1794.240000,3.058818
1797.240000,3.039928
1800.241000,3.025633
1803.241000,3.007068
1806.241000,2.989785
1809.239000,2.970276
1812.239000,2.955329
1815.239000,2.939205
1818.240000,2.921956
1821.240000,2.904303
1824.240000,2.886778
1827.238000,2.870866
1830.238000,2.855483
1833.238000,2.835674
1836.238000,2.822151
1839.239000,2.805912
1842.237000,2.790060
1845.237000,2.777459
1848.237000,2.762630
1851.237000,2.746139
1854.237000,2.730546
1857.236000,2.716622
1860.237000,2.700610
1863.237000,2.686268
1866.235000,2.673143
1869.235000,2.660289
1872.235000,2.642935
1875.235000,2.629330
1878.236000,2.616562
1881.234000,2.603556
1884.234000,2.591783
1887.234000,2.577886
1890.234000,2.563721
1893.234000,2.549834
1896.235000,2.541244
1899.233000,2.527459
1902.233000,2.516591
1905.233000,2.505692
1908.233000,2.495086
1911.233000,2.482266
1914.231000,2.471561
1917.232000,2.461298
1920.232000,2.454941
1923.232000,2.445861
1926.232000,2.434042
1929.230000,2.428568
1932.230000,2.419206
1935.231000,2.407968
1938.231000,2.400054
1941.231000,2.392109
1944.231000,2.387863
1947.229000,2.382128
1950.229000,2.377658
1953.229000,2.373266
1956.230000,2.362442
1959.230000,2.367412
1962.228000,2.368534
1965.228000,2.348824
1968.228000,2.349888
1971.228000,2.345506
1974.229000,2.352601
1977.227000,2.375544
1980.227000,2.365508
1983.227000,2.345428
1986.227000,2.364992
1989.227000,2.341889
1992.227000,2.343956
1995.226000,2.364057
1998.226000,2.346410
2001.226000,2.353457
2004.226000,2.372093
2007.226000,2.345044
2010.224000,2.370730
2013.225000,2.353471
2016.225000,2.370625
2019.225000,2.367059
2022.225000,2.385892
2025.223000,2.394754
2028.223000,2.392463
2031.223000,2.402518
2034.224000,2.388261
2037.224000,2.414206
2040.224000,2.405670
2043.222000,2.430571
2046.222000,2.441541
2049.222000,2.440249
2052.223000,2.458307
2055.223000,2.461774
2058.221000,2.469481
2061.221000,2.481603
2064.221000,2.494800
2067.221000,2.474910
2070.221000,2.504227
2073.220000,2.518960
2076.220000,2.533989
2079.220000,2.541427
2082.220000,2.550939
2085.220000,2.559590
2088.220000,2.573685
2091.219000,2.583217
2094.219000,2.595162
2097.219000,2.601054
2100.219000,2.616055
2103.219000,2.627923
2106.217000,2.635453
2109.217000,2.632403
2112.218000,2.668047
2115.217000,2.679187
2118.217000,2.694678
2121.217000,2.707273
2124.217000,2.719532
2127.217000,2.732191
2130.216000,2.746649
2133.216000,2.759628
2136.216000,2.773967
2139.216000,2.777272
2142.216000,2.798817
2145.216000,2.808642
2148.214000,2.826982
2151.215000,2.841008
2154.215000,2.855429
2157.215000,2.867905
2160.215000,2.868618
2163.213000,2.866433
2166.213000,2.890072
2169.214000,2.910408
2172.214000,2.922398
2175.213000,2.931260
2178.212000,2.947806
2181.212000,2.957365
2184.212000,2.971921
2187.212000,2.984129
2190.213000,2.994263
2193.211000,3.008751
2196.211000,3.020092
2199.211000,3.014642
2202.211000,3.044847
2205.211000,3.057985
2208.212000,3.070125
2211.210000,3.084556
2214.210000,3.093238
2217.209000,3.113281
2220.209000,3.106108
2223.209000,3.123755
2226.209000,3.137128
2229.210000,3.146467
2232.208000,3.157406
2235.208000,3.166642
2238.208000,3.179282
2241.208000,3.184819
2244.208000,3.179469
2247.209000,3.209343
2250.207000,3.204054
2253.207000,3.221469
2256.207000,3.235815
2259.207000,3.238956
2262.207000,3.246588
2265.205000,3.252152
2268.206000,3.260760
2271.206000,3.248478
2274.206000,3.281401
2277.206000,3.278536
2280.206000,3.268463
2283.204000,3.293255
2286.205000,3.289992
2289.205000,3.295910
2292.205000,3.306972
2295.205000,3.314142
2298.203000,3.316096
2301.203000,3.307261
2304.203000,3.294894
2307.204000,3.278131
2310.204000,3.301139
2313.202000,3.307401
2316.202000,3.304232
2319.202000,3.308369
2322.202000,3.282622
2325.203000,3.277342
2328.201000,3.276948
2331.201000,3.275279
2334.201000,3.274463
2337.201000,3.288037
2340.201000,3.297444
2343.201000,3.278240
2346.201000,3.261181
2349.201000,3.266206
2352.200000,3.254087
2355.200000,3.248097
2358.200000,3.244205
2361.198000,3.243599
2364.199000,3.233398
2367.199000,3.225123
2370.199000,3.221557
2373.199000,3.218620
2376.199000,3.208061
2379.197000,3.203231
2382.197000,3.196663
2385.198000,3.183184
2388.198000,3.178874
2391.198000,3.171946
2394.197000,3.159755
2397.197000,3.154676
2400.197000,3.141286
2403.196000,3.133865
2406.196000,3.124408
2409.196000,3.117469
2412.196000,3.112265
2415.196000,3.099863
2418.194000,3.090042
2421.194000,3.082553
2424.196000,3.072267
2427.194000,3.062153
2430.194000,3.051588
2433.194000,3.041736
2436.194000,3.032731
2439.194000,3.023348
2442.193000,3.012888
2445.193000,3.004971
2448.193000,2.993124
2451.193000,2.983581
2454.193000,2.971877
2457.191000,2.962797
2460.191000,2.954407
2463.192000,2.944022
2466.191000,2.934605
2469.191000,2.923282
2472.191000,2.916938
2475.191000,2.904796
2478.191000,2.892738
2481.190000,2.888315
2484.190000,2.874506
2487.190000,2.866399
2490.190000,2.854953
2493.190000,2.845730
2496.190000,2.835990
2499.188000,2.828056
2502.190000,2.818055
2505.188000,2.808207
2508.188000,2.798943
2511.188000,2.789465
2514.188000,2.781449
2517.188000,2.770945
2520.189000,2.763099
2523.187000,2.753353
2526.187000,2.745561
2529.187000,2.739041
2532.187000,2.726082
2535.187000,2.721935
2538.185000,2.711540
2541.186000,2.705006
2544.186000,2.696062
2547.186000,2.688219
2550.186000,2.677450
2553.184000,2.671552
2556.185000,2.665021
2559.186000,2.663808
2562.184000,2.653446
2565.184000,2.644897
2568.184000,2.639338
2571.184000,2.630765
2574.184000,2.624602
2577.182000,2.618119
2580.183000,2.619951
2583.183000,2.631768
2586.183000,2.608257
2589.183000,2.599102
2592.181000,2.592484
2595.181000,2.589220
2598.181000,2.583944
2601.182000,2.581180
2604.182000,2.585290
2607.182000,2.572961
2610.180000,2.575259
2613.180000,2.594367
2616.180000,2.577492
2619.181000,2.557422
2622.181000,2.562409
2625.179000,2.552710
2628.179000,2.550602
2631.179000,2.562184
2634.179000,2.577883
2637.179000,2.549650
2640.180000,2.547145
2643.178000,2.543491
