Marks,Intensity(V)
,0.112813
,0.096878
,0.079537
,0.090663
,0.072935
,0.072711
,0.102421
,0.094963
,0.096430
,0.086955
,0.101096
,0.086649
,0.082309
,0.107861
,0.081127
,0.095594
,0.095900
,0.117724
,0.084407
,0.088768
,0.095268
,0.082023
,0.092986
,0.093577
,0.093373
,0.089542
,0.098305
,0.100954
,0.096083
,0.104703
,0.101626
,0.106802
,0.114199
,0.107678
,0.098325
,0.093108
,0.103460
,0.116359
,0.139405
,0.103297
,0.127872
,0.138488
,0.143664
,0.144418
,0.167098
,0.188290
,0.207587
,0.257959
,0.301363
,0.392876
,0.450768
,0.525939
4851.8,0.578451
,0.752430
,0.869415
,0.965514
,1.348155
,1.519344
,1.788627
,2.039653
,2.406054
,3.086731
,3.412867
,4.405232
,5.283547
,6.082493
,6.354895
,6.532013
,7.292425
,7.529126
,7.724278
,5.756989
,5.162752
,3.122473
,2.718741
,2.441388
,1.166147
,0.967511
,1.005718
,1.099881
,1.158832
,1.156672
,1.466669
,2.107692
,2.387714
,2.534715
,4.259842
,4.441911
,4.558672
,5.424149
,6.019019
,5.835543
,5.145737
,3.447182
,2.436110
,1.920977
,0.618716
,0.489994
,0.353324
,0.281291
,0.228738
,0.165345
,0.183399
,0.152793
,0.144357
,0.131519
,0.139731
,0.117337
4855.2,0.109492
,0.114729
,0.113241
,0.105498
,0.106354
,0.111876
,0.109675
,0.089970
,0.108677
,0.096756
,0.131132
,0.108432
,3.447651
,12.000000
