Marks,Intensity(V)
,0.156970
,0.165753
,0.163226
,0.165936
,0.138774
,0.165182
,0.145478
,0.147536
,0.153771
,0.142869
,0.164163
,0.166792
,0.167465
,0.150490
,0.146986
,0.177388
,0.186802
,0.168667
,0.155483
,0.185743
,0.172803
,0.172661
,0.179018
,0.191958
,0.181056
,0.206059
,0.157683
,0.219711
,0.188494
,0.188168
,0.186904
,0.215982
,0.192121
,0.208952
,0.210134
,0.203593
,0.198906
,0.235341
,0.261423
,0.249849
,0.259752
,0.267007
,0.294801
,0.329137
,0.350512
,0.449932
,0.469270
6554.6,0.488017
,0.604778
,0.654498
,1.724317
,2.305554
,4.745021
,6.965312
,8.969727
,10.640977
,11.086380
,11.237496
,11.234175
,11.270161
,11.265230
,11.250252
,11.224170
,11.042732
,10.842934
,10.192191
,9.983774
,9.465645
,9.044430
,8.263517
,7.878777
,7.589565
,6.064378
,6.005570
,6.085550
,5.237087
,4.730207
,3.985382
,4.073880
,4.368472
,5.233032
,5.708390
,8.467227
,9.388395
,10.885828
,11.112381
,11.352464
,11.577794
,11.623867
,11.601045
,11.462256
,11.299341
,10.803443
,10.697034
,10.569840
,10.154575
,9.824873
,8.613331
,8.242447
,7.749403
,7.593966
,7.050040
,6.023277
,5.674095
,4.983678
,4.575870
,4.128715
,4.258802
,4.433801
,3.818310
,3.606837
,3.335067
,2.740483
,2.492718
,2.580156
,2.451678
,2.255182
,1.968822
,1.859275
,1.277712
,1.407147
,1.518956
,1.180594
,0.927816
,0.806104
,0.767734
,0.613275
,0.727591
,0.717973
,0.621874
,0.568792
,0.480457
,0.414904
,0.347761
,0.307476
,0.314221
,0.288199
6559.8,0.256513
,0.242819
,0.204877
,0.205896
,0.209421
,0.237338
,0.207709
,0.216838
,0.195014
,0.184276
,0.193669
,0.161861
,0.175024
,0.169013
,0.179039
,0.199681
,0.173802
,0.184785
,0.168769
,0.143358
,0.120740
